N,DEWP,TEMP,PRES,WIND_SPEED,SNOW,RAIN,PM25,PM25
88,-23,-11,1031,1.79,0,0,33,33
89,-24,-11,1031,3.58,0,0,50,50
90,-23,-11,1031,5.37,0,0,56,56
91,-23,-11,1032,7.16,0,0,59,59
92,-22,-13,1033,10.29,0,0,60,60
93,-22,-12,1033,13.42,0,0,84,84
94,-24,-18,1033,16.55,0,0,106,106
95,-22,-13,1034,20.57,0,0,66,66
96,-22,-16,1033,23.7,0,0,50,50
97,-25,-17,1033,26.83,0,0,56,56
98,-25,-14,1033,4.02,0,0,77,77
99,-26,-14,1034,8.04,0,0,50,50
100,-26,-14,1033,13.85,0,0,44,44
101,-26,-14,1033,17.87,0,0,27,27
102,-26,-14,1033,23.68,0,0,28,28
103,-26,-14,1033,28.6,0,0,21,21
104,-26,-15,1034,33.52,0,0,25,25
105,-26,-14,1034,39.33,0,0,20,20
106,-25,-13,1035,44.25,0,0,29,29
107,-25,-12,1035,50.06,0,0,34,34
108,-24,-11,1035,54.98,0,0,42,42
109,-24,-10,1034,59,0,0,28,28
110,-22,-10,1033,4.02,0,0,36,36
111,-22,-9,1033,5.81,0,0,48,48
112,-22,-8,1033,0.89,0,0,49,49
113,-22,-8,1033,1.79,0,0,52,52
114,-21,-9,1033,3.58,0,0,56,56
115,-22,-9,1033,5.37,0,0,96,96
116,-22,-14,1034,0.89,0,0,75,75
117,-22,-12,1035,1.79,0,0,105,105
118,-21,-14,1034,3.58,0,0,132,132
119,-22,-16,1035,5.37,0,0,93,93
120,-21,-16,1035,7.16,0,0,131,131
121,-21,-16,1035,8.95,0,0,127,127
122,-21,-16,1035,0.45,0,0,130,130
123,-22,-18,1036,1.34,0,0,43,43
124,-23,-15,1036,4.02,0,0,37,37
125,-24,-16,1035,7.15,0,0,30,30
126,-25,-15,1035,10.28,0,0,28,28
127,-24,-15,1035,14.3,0,0,24,24
128,-25,-13,1036,4.92,0,0,23,23
129,-24,-14,1036,4.02,0,0,24,24
130,-23,-12,1036,8.94,0,0,27,27
131,-22,-11,1036,12.96,0,0,40,40
132,-20,-10,1036,16.09,0,0,42,42
133,-21,-9,1035,19.22,0,0,42,42
134,-21,-8,1034,21.01,0,0,55,55
135,-20,-7,1033,22.8,0,0,52,52
136,-20,-7,1032,24.59,0,0,51,51
137,-18,-8,1032,26.38,0,0,57,57
138,-19,-9,1032,28.17,0,0,50,50
139,-19,-11,1032,0.89,0,0,54,54
140,-18,-11,1033,1.79,0,0,67,67
141,-19,-15,1032,1.79,0,0,106,106
142,-19,-14,1032,0.45,0,0,159,159
143,-21,-14,1032,1.34,0,0,198,198
144,-21,-16,1032,2.23,0,0,190,190
145,-21,-17,1031,1.79,0,0,210,210
146,-19,-16,1031,3.58,0,0,195,195
147,-20,-16,1031,0.89,0,0,275,275
148,-19,-15,1030,0.89,0,0,164,164
149,-18,-15,1030,0.45,0,0,110,110
150,-18,-15,1029,1.34,0,0,100,100
151,-18,-15,1029,1.79,0,0,81,81
152,-16,-13,1029,0.89,0,0,71,71
153,-16,-12,1029,0.89,0,0,66,66
154,-16,-12,1030,1.78,0,0,92,92
155,-17,-10,1030,0.89,0,0,135,135
156,-16,-10,1029,0.89,0,0,155,155
157,-16,-9,1028,3.13,0,0,198,198
158,-15,-8,1026,4.92,0,0,250,250
159,-16,-8,1026,0.89,0,0,200,200
160,-16,-8,1025,1.78,0,0,231,231
161,-16,-8,1025,2.67,0,0,250,250
162,-17,-8,1025,0.89,0,0,212,212
163,-17,-9,1026,0.45,0,0,219,219
164,-17,-11,1026,1.34,0,0,227,227
165,-17,-12,1026,1.79,0,0,226,226
166,-18,-14,1027,1.79,0,0,225,225
167,-16,-9,1027,4.92,0,0,168,168
168,-16,-11,1027,6.71,0,0,169,169
169,-17,-13,1027,0.89,0,0,165,165
170,-17,-13,1027,3.13,0,0,159,159
171,-17,-14,1027,4.92,0,0,167,167
172,-17,-15,1027,8.05,0,0,196,196
173,-17,-13,1027,9.84,0,0,169,169
174,-19,-16,1027,13.86,0,0,155,155
175,-18,-15,1027,17.88,0,0,119,119
176,-19,-15,1027,21.9,0,0,106,106
177,-18,-14,1028,25.92,0,0,93,93
178,-18,-9,1029,5.81,0,0,84,84
179,-17,-7,1029,11.62,0,0,73,73
180,-17,-6,1030,17.43,0,0,66,66
181,-16,-6,1029,23.24,0,0,40,40
182,-16,-5,1029,28.16,0,0,49,49
183,-15,-4,1029,33.08,0,0,50,50
184,-14,-4,1028,37.1,0,0,49,49
185,-15,-4,1029,38.89,0,0,41,41
186,-15,-4,1030,1.79,0,0,37,37
187,-15,-7,1030,3.13,0,0,45,45
188,-15,-6,1031,3.13,0,0,44,44
189,-15,-7,1032,4.92,0,0,54,54
190,-15,-6,1032,3.13,0,0,50,50
191,-15,-8,1033,0.45,0,0,47,47
192,-15,-8,1033,0.9,0,0,66,66
193,-15,-11,1033,0.89,0,0,75,75
194,-17,-13,1033,1.78,0,0,82,82
195,-17,-12,1033,4.91,0,0,66,66
196,-17,-13,1033,8.04,0,0,83,83
197,-19,-14,1032,9.83,0,0,62,62
198,-18,-13,1032,12.96,0,0,40,40
199,-19,-13,1032,16.09,0,0,23,23
200,-19,-14,1033,19.22,0,0,25,25
201,-19,-14,1034,22.35,0,0,27,27
202,-17,-12,1033,24.14,0,0,35,35
203,-16,-7,1033,4.02,0,0,50,50
204,-15,-7,1033,3.13,0,0,70,70
205,-15,-7,1032,6.26,0,0,75,75
206,-14,-6,1031,9.39,0,0,58,58
207,-14,-6,1031,12.52,0,0,70,70
208,-13,-5,1030,14.31,0,0,68,68
209,-14,-5,1031,16.1,0,0,71,71
210,-14,-6,1031,19.23,0,0,88,88
211,-13,-7,1032,23.25,0,0,84,84
212,-15,-6,1032,27.27,0,0,83,83
213,-15,-6,1033,30.4,0,0,66,66
214,-15,-4,1034,35.32,0,0,27,27
215,-16,-4,1034,44.26,0,0,24,24
216,-17,-5,1035,52.31,0,0,22,22
217,-17,-6,1035,60.36,0,0,23,23
218,-17,-8,1035,0.89,0,0,27,27
219,-19,-11,1036,4.02,0,0,23,23
220,-20,-11,1036,8.94,0,0,17,17
221,-21,-11,1035,4.02,0,0,17,17
222,-22,-12,1035,3.13,0,0,16,16
223,-22,-12,1035,4.92,0,0,16,16
224,-22,-13,1036,5.81,0,0,20,20
225,-22,-9,1036,13.86,0,0,20,20
226,-22,-10,1036,21.91,0,0,18,18
227,-22,-9,1036,29.06,0,0,25,25
228,-21,-9,1036,33.08,0,0,26,26
229,-20,-6,1035,42.02,0,0,27,27
230,-19,-5,1034,50.96,0,0,28,28
231,-19,-5,1033,59.01,0,0,15,15
232,-20,-5,1033,66.16,0,0,24,24
233,-20,-5,1032,71.97,0,0,13,13
234,-20,-5,1033,76.89,0,0,13,13
235,-20,-7,1033,81.81,0,0,13,13
236,-22,-7,1033,85.83,0,0,17,17
237,-22,-8,1033,89.85,0,0,20,20
238,-23,-10,1033,91.64,0,0,27,27
239,-23,-13,1033,93.43,0,0,20,20
240,-22,-12,1032,0.89,0,0,15,15
241,-22,-15,1031,1.78,0,0,21,21
242,-22,-14,1031,1.79,0,0,21,21
243,-22,-14,1031,0.89,0,0,37,37
244,-24,-18,1030,1.79,0,0,26,26
245,-24,-13,1030,3.58,0,0,15,15
246,-25,-14,1030,3.13,0,0,9,9
247,-24,-14,1030,7.15,0,0,11,11
248,-25,-12,1030,12.96,0,0,11,11
249,-26,-14,1030,16.98,0,0,16,16
250,-25,-12,1031,21,0,0,13,13
251,-25,-11,1031,26.81,0,0,15,15
252,-24,-11,1030,35.75,0,0,21,21
253,-23,-11,1029,47.82,0,0,24,24
254,-22,-11,1029,63.02,0,0,22,22
255,-23,-11,1029,75.98,0,0,22,22
256,-22,-11,1029,88.05,0,0,22,22
257,-23,-11,1030,101.01,0,0,19,19
258,-24,-11,1030,109.06,0,0,23,23
259,-24,-11,1032,118,0,0,25,25
260,-23,-11,1032,126.05,0,0,25,25
261,-23,-12,1032,134.1,0,0,31,31
262,-24,-12,1033,142.15,0,0,25,25
263,-23,-12,1033,150.2,0,0,22,22
264,-23,-12,1034,160.03,0,0,22,22
265,-24,-12,1034,169.86,0,0,15,15
266,-24,-12,1033,178.8,0,0,16,16
267,-25,-12,1033,189.98,0,0,11,11
268,-24,-13,1033,198.03,0,0,11,11
269,-25,-12,1032,205.18,0,0,12,12
270,-25,-12,1033,215.01,0,0,11,11
271,-25,-12,1032,226.19,0,0,12,12
272,-25,-12,1032,235.13,0,0,27,27
273,-25,-12,1032,243.18,0,0,28,28
274,-23,-11,1033,252.12,0,0,34,34
275,-23,-10,1033,257.93,0,0,33,33
276,-22,-9,1033,263.74,0,0,36,36
277,-21,-8,1031,270.89,0,0,26,26
278,-21,-6,1030,278.94,0,0,49,49
279,-20,-5,1029,286.99,0,0,52,52
280,-22,-5,1028,294.14,0,0,47,47
281,-21,-5,1028,299.06,0,0,47,47
282,-19,-7,1028,1.79,0,0,39,39
283,-19,-8,1028,0.45,0,0,59,59
284,-20,-9,1028,1.34,0,0,76,76
285,-19,-10,1027,1.79,0,0,96,96
286,-19,-13,1027,0.89,0,0,95,95
287,-18,-12,1027,1.78,0,0,68,68
288,-18,-13,1027,0.89,0,0,65,65
289,-18,-14,1026,1.78,0,0,75,75
290,-20,-15,1025,2.67,0,0,257,257
291,-20,-15,1025,0.89,0,0,174,174
292,-20,-16,1025,1.78,0,0,164,164
293,-20,-16,1024,3.57,0,0,161,161
294,-21,-17,1024,6.7,0,0,137,137
295,-19,-14,1023,10.72,0,0,92,92
296,-21,-17,1023,13.85,0,0,64,64
297,-19,-15,1024,15.64,0,0,87,87
298,-19,-14,1024,18.77,0,0,87,87
299,-18,-10,1024,22.79,0,0,84,84
300,-17,-9,1023,24.58,0,0,95,95
301,-16,-6,1023,26.37,0,0,79,79
302,-17,-5,1022,28.16,0,0,75,75
303,-16,-5,1022,29.95,0,0,79,79
304,-15,-4,1022,33.08,0,0,86,86
305,-16,-4,1023,0.89,0,0,72,72
306,-15,-5,1025,1.79,0,0,89,89
307,-14,-3,1026,5.81,0,0,94,94
308,-16,-3,1027,11.62,0,0,69,69
309,-15,-4,1029,20.56,0,0,49,49
310,-16,-5,1031,24.58,0,0,33,33
311,-17,-6,1032,3.13,0,0,27,27
312,-18,-6,1033,8.05,0,0,20,20
313,-19,-7,1034,13.86,0,0,36,36
314,-17,-8,1035,5.81,0,0,37,37
315,-18,-10,1035,11.62,0,0,30,30
316,-19,-10,1036,14.75,0,0,18,18
317,-19,-9,1036,19.67,0,0,21,21
318,-19,-9,1036,7.15,0,0,13,13
319,-20,-9,1037,12.96,0,0,23,23
320,-19,-9,1037,18.77,0,0,26,26
321,-19,-8,1038,22.79,0,0,27,27
322,-19,-8,1039,28.6,0,0,30,30
323,-19,-7,1039,35.75,0,0,28,28
324,-18,-6,1039,41.56,0,0,26,26
325,-18,-5,1039,45.58,0,0,26,26
326,-17,-4,1038,1.79,0,0,31,31
327,-16,-3,1037,0.89,0,0,35,35
328,-17,-3,1037,1.78,0,0,36,36
329,-17,-2,1037,2.23,0,0,37,37
330,-15,-5,1036,0.89,0,0,64,64
331,-15,-6,1036,0.89,0,0,83,83
332,-15,-6,1037,1.78,0,0,91,91
333,-14,-6,1037,1.79,0,0,90,90
334,-14,-8,1036,3.58,0,0,102,102
335,-14,-10,1037,0.89,0,0,94,94
336,-15,-11,1036,1.78,0,0,87,87
337,-15,-11,1036,2.67,0,0,141,141
338,-16,-13,1036,0.89,0,0,211,211
339,-16,-12,1036,0.89,0,0,242,242
340,-16,-13,1035,0.89,0,0,271,271
341,-15,-12,1035,1.78,0,0,249,249
342,-14,-10,1034,1.79,0,0,200,200
343,-15,-10,1034,2.68,0,0,147,147
344,-15,-11,1034,4.47,0,0,114,114
345,-15,-11,1034,6.26,0,0,102,102
346,-14,-9,1034,8.05,0,0,108,108
347,-14,-9,1034,9.84,0,0,135,135
348,-13,-6,1034,0.89,0,0,120,120
349,-13,-5,1033,1.79,0,0,148,148
350,-12,-4,1031,0.89,0,0,127,127
351,-12,-3,1031,1.78,0,0,128,128
352,-12,-3,1030,2.67,0,0,140,140
353,-11,-3,1030,3.56,0,0,148,148
354,-11,-4,1031,0.89,0,0,150,150
355,-12,-7,1031,0.89,0,0,154,154
356,-12,-7,1032,1.78,0,0,197,197
357,-12,-8,1032,2.23,0,0,235,235
358,-12,-9,1032,3.12,0,0,261,261
359,-13,-11,1032,0.89,0,0,269,269
360,-14,-11,1032,2.68,0,0,266,266
361,-15,-12,1032,5.81,0,0,263,263
362,-14,-11,1032,0.45,0,0,241,241
363,-14,-11,1031,1.34,0,0,205,205
364,-14,-12,1031,1.79,0,0,160,160
365,-14,-12,1031,3.58,0,0,150,150
366,-14,-10,1030,6.71,0,0,148,148
367,-14,-11,1030,9.84,0,0,208,208
368,-15,-10,1030,11.63,0,0,209,209
369,-13,-10,1030,14.76,0,0,183,183
370,-13,-8,1030,17.89,0,0,161,161
371,-12,-6,1030,0.45,0,0,182,182
372,-11,-5,1030,1.34,0,0,230,230
373,-11,-4,1029,2.23,0,0,170,170
374,-11,-3,1028,3.12,0,0,172,172
375,-10,-1,1027,4.01,0,0,154,154
376,-11,-1,1027,4.46,0,0,166,166
377,-10,-1,1026,0.89,0,0,177,177
378,-10,-3,1026,1.78,0,0,191,191
379,-10,-5,1027,2.67,0,0,212,212
380,-10,-6,1027,0.89,0,0,250,250
381,-11,-7,1027,0.45,0,0,268,268
382,-10,-7,1027,0.9,0,0,317,317
383,-11,-9,1027,1.35,0,0,291,291
384,-12,-9,1027,0.89,0,0,313,313
385,-12,-10,1028,0.89,0,0,282,282
386,-13,-11,1028,3.13,0,0,282,282
387,-11,-9,1028,4.92,0,0,303,303
388,-13,-10,1028,6.71,0,0,349,349
389,-13,-11,1028,7.6,0,0,407,407
390,-13,-11,1027,1.79,0,0,361,361
391,-14,-11,1028,0.89,0,0,234,234
392,-14,-11,1028,4.02,0,0,149,149
393,-14,-11,1028,5.81,0,0,147,147
394,-11,-6,1028,9.83,0,0,184,184
395,-10,-5,1028,11.62,0,0,161,161
396,-9,-3,1028,13.41,0,0,137,137
397,-8,-1,1027,15.2,0,0,146,146
398,-9,0,1026,16.99,0,0,144,144
399,-9,1,1025,1.79,0,0,154,154
400,-9,1,1025,0.89,0,0,173,173
401,-8,1,1025,0.89,0,0,188,188
402,-7,-1,1025,2.68,0,0,203,203
403,-7,-2,1025,0.89,0,0,233,233
404,-7,-3,1025,0.89,0,0,408,408
405,-5,-2,1026,0.89,0,0,435,435
406,-5,-1,1026,1.79,0,0,403,403
407,-5,-1,1026,3.58,0,0,360,360
408,-6,-1,1026,0.89,0,0,402,402
409,-4,-1,1025,1.79,0,0,358,358
410,-5,-1,1024,4.92,0,0,383,383
411,-5,-1,1024,6.71,0,0,332,332
412,-5,-1,1023,8.5,0,0,274,274
413,-4,-1,1022,10.29,0,0,256,256
414,-4,-1,1021,11.18,0,0,302,302
415,-4,-1,1021,12.07,0,0,330,330
416,-4,-1,1021,13.86,0,0,367,367
417,-4,0,1021,0.89,0,0,297,297
418,-4,0,1021,1.79,0,0,331,331
419,-4,0,1021,0.89,0,0,323,323
420,-5,1,1021,1.79,0,0,339,339
421,-5,1,1020,0.89,0,0,301,301
422,-4,1,1019,1.34,0,0,310,310
423,-4,1,1018,0.89,0,0,305,305
424,-3,2,1018,0.45,0,0,313,313
425,-3,2,1018,1.34,0,0,336,336
426,-2,2,1018,0.89,0,0,357,357
427,-3,1,1018,0.89,0,0,485,485
428,-3,2,1020,1.79,0,0,426,426
429,-3,1,1020,4.92,0,0,403,403
430,-3,0,1021,6.71,0,0,374,374
431,-3,0,1021,8.5,0,0,333,333
432,-3,1,1020,11.63,0,0,343,343
433,-2,0,1021,14.76,0,0,364,364
434,-2,-1,1022,16.55,0,0,389,389
435,-4,-2,1022,19.68,0,0,368,368
436,-2,-1,1023,25.49,0,0,267,267
437,-3,1,1023,28.62,0,0,71,71
438,-3,0,1024,31.75,0,0,81,81
439,-5,2,1026,36.67,0,0,51,51
440,-9,1,1027,41.59,0,0,49,49
441,-10,0,1028,48.74,0,0,44,44
442,-10,0,1030,55.89,0,0,45,45
443,-11,1,1032,63.04,0,0,35,35
444,-13,0,1033,71.09,0,0,29,29
445,-13,0,1033,78.24,0,0,27,27
446,-13,-1,1033,8.05,0,0,29,29
447,-13,-1,1032,7.15,0,0,16,16
448,-15,-1,1032,5.81,0,0,23,23
449,-14,-1,1033,5.81,0,0,28,28
450,-15,-2,1033,12.96,0,0,22,22
451,-16,-3,1034,21.01,0,0,11,11
452,-17,-4,1035,28.16,0,0,25,25
453,-19,-3,1036,37.99,0,0,16,16
454,-18,-4,1037,46.93,0,0,20,20
455,-19,-4,1038,55.87,0,0,20,20
456,-19,-5,1038,65.7,0,0,18,18
457,-20,-6,1038,75.53,0,0,18,18
458,-20,-6,1038,85.36,0,0,17,17
459,-20,-7,1038,95.19,0,0,17,17
460,-22,-8,1038,103.24,0,0,17,17
461,-23,-8,1038,111.29,0,0,15,15
462,-24,-9,1038,118.44,0,0,19,19
463,-24,-9,1038,128.27,0,0,16,16
464,-25,-9,1038,138.1,0,0,18,18
465,-25,-8,1039,147.04,0,0,18,18
466,-25,-8,1039,155.98,0,0,18,18
467,-22,-7,1039,160.9,0,0,26,26
468,-22,-7,1038,3.13,0,0,26,26
469,-22,-5,1037,4.02,0,0,25,25
470,-21,-5,1035,3.13,0,0,24,24
471,-21,-4,1034,1.79,0,0,15,15
472,-20,-3,1034,1.79,0,0,17,17
473,-21,-2,1033,4.92,0,0,15,15
474,-20,-2,1033,10.73,0,0,21,21
475,-20,-2,1034,15.65,0,0,40,40
476,-19,-3,1034,21.46,0,0,51,51
477,-19,-3,1035,25.48,0,0,45,45
478,-17,-8,1035,0.89,0,0,61,61
479,-18,-9,1035,1.79,0,0,72,72
480,-18,-9,1035,3.58,0,0,38,38
481,-18,-6,1036,7.6,0,0,35,35
482,-20,-4,1037,17.43,0,0,29,29
483,-21,-5,1037,27.26,0,0,26,26
484,-21,-6,1037,35.31,0,0,18,18
485,-20,-7,1036,42.46,0,0,15,15
486,-20,-7,1035,48.27,0,0,15,15
487,-20,-7,1035,54.08,0,0,22,22
488,-20,-7,1036,59,0,0,21,21
489,-19,-7,1036,63.92,0,0,19,19
490,-20,-5,1036,67.94,0,0,22,22
491,-19,-4,1036,75.09,0,0,25,25
492,-19,-4,1036,84.03,0,0,22,22
493,-19,-3,1035,95.21,0,0,26,26
494,-18,-3,1034,105.04,0,0,32,32
495,-19,-2,1033,114.87,0,0,30,30
496,-18,-2,1032,124.7,0,0,32,32
497,-18,-2,1032,133.64,0,0,30,30
498,-18,-2,1032,139.45,0,0,32,32
499,-18,-3,1032,144.37,0,0,37,37
500,-17,-5,1033,149.29,0,0,49,49
501,-18,-4,1033,153.31,0,0,47,47
502,-17,-4,1032,159.12,0,0,39,39
503,-17,-4,1032,164.04,0,0,35,35
504,-17,-7,1032,168.06,0,0,48,48
505,-17,-4,1033,172.08,0,0,49,49
506,-17,-8,1033,0.89,0,0,24,24
507,-17,-5,1032,4.92,0,0,23,23
508,-18,-6,1032,8.05,0,0,20,20
509,-18,-5,1031,12.97,0,0,19,19
510,-18,-6,1031,16.1,0,0,16,16
511,-18,-7,1031,20.12,0,0,22,22
512,-18,-7,1031,24.14,0,0,24,24
513,-18,-6,1031,25.93,0,0,24,24
514,-18,-2,1031,30.85,0,0,41,41
515,-17,-1,1031,38.9,0,0,23,23
516,-17,0,1030,46.95,0,0,19,19
517,-19,1,1029,55,0,0,15,15
518,-20,2,1027,63.05,0,0,19,19
519,-19,2,1025,71.1,0,0,17,17
520,-19,3,1024,79.15,0,0,17,17
521,-19,3,1024,86.3,0,0,22,22
522,-18,2,1024,91.22,0,0,55,55
523,-18,1,1024,96.14,0,0,55,55
524,-17,0,1024,100.16,0,0,55,55
525,-18,0,1024,1.79,0,0,55,55
526,-15,-3,1024,0.89,0,0,55,55
527,-16,0,1023,1.79,0,0,55,55
528,-16,0,1023,4.92,0,0,55,55
529,-15,-2,1022,6.71,0,0,55,55
530,-14,-7,1022,0.45,0,0,55,55
531,-14,-8,1021,1.79,0,0,55,55
532,-16,-11,1021,3.58,0,0,55,55
533,-14,-9,1019,4.47,0,0,55,55
534,-15,-10,1019,0.89,0,0,55,55
535,-16,-12,1019,0.89,0,0,55,55
536,-15,-12,1019,0.89,0,0,55,55
537,-16,-13,1019,1.79,0,0,55,55
538,-13,-7,1020,0.89,0,0,55,55
539,-12,-4,1019,1.78,0,0,55,55
540,-13,0,1019,2.67,0,0,55,55
541,-16,4,1018,4.02,0,0,55,55
542,-19,5,1017,13.85,0,0,55,55
543,-18,5,1017,22.79,0,0,55,55
544,-19,5,1017,32.62,0,0,55,55
545,-20,5,1018,40.67,0,0,55,55
546,-19,3,1020,49.61,0,0,55,55
547,-18,1,1023,61.68,0,0,55,55
548,-20,-1,1027,76.88,0,0,55,55
549,-20,-2,1028,89.84,0,0,55,55
550,-21,-3,1029,98.78,0,0,55,55
551,-25,-4,1030,113.98,0,0,55,55
552,-26,-5,1031,129.18,0,0,55,55
553,-25,-5,1031,141.25,0,0,55,55
554,-25,-6,1031,150.19,0,0,55,55
555,-24,-6,1032,162.26,0,0,55,55
556,-24,-6,1033,172.09,0,0,55,55
557,-23,-6,1033,181.92,0,0,55,55
558,-22,-7,1033,187.73,0,0,55,55
559,-21,-7,1033,192.65,0,0,55,55
560,-21,-7,1034,196.67,0,0,55,55
561,-21,-6,1035,201.59,0,0,55,55
562,-21,-4,1036,207.4,0,0,55,55
563,-22,-3,1036,216.34,0,0,55,55
564,-22,-2,1036,222.15,0,0,55,55
565,-23,-1,1035,230.2,0,0,55,55
566,-26,1,1033,238.25,0,0,55,55
567,-25,2,1032,245.4,0,0,55,55
568,-25,2,1031,252.55,0,0,55,55
569,-24,2,1031,257.47,0,0,55,55
570,-22,1,1031,4.02,0,0,55,55
571,-19,-1,1031,7.15,0,0,55,55
572,-19,-1,1031,10.28,0,0,55,55
573,-17,-4,1031,12.07,0,0,55,55
574,-18,-1,1031,15.2,0,0,55,55
575,-18,-5,1030,0.89,0,0,55,55
576,-18,-3,1030,3.13,0,0,55,55
577,-16,-9,1030,0.89,0,0,55,55
578,-16,-8,1029,1.78,0,0,55,55
579,-16,-11,1029,2.23,0,0,55,55
580,-16,-12,1029,3.12,0,0,55,55
581,-16,-10,1028,3.13,0,0,55,55
582,-17,-10,1028,4.92,0,0,55,55
583,-17,-12,1027,6.71,0,0,55,55
584,-17,-10,1027,8.5,0,0,55,55
585,-18,-13,1028,1.79,0,0,55,55
586,-16,-8,1028,4.02,0,0,55,55
587,-16,-6,1027,5.81,0,0,55,55
588,-15,-3,1027,0.89,0,0,55,55
589,-15,-1,1025,1.79,0,0,88,88
590,-18,0,1024,3.58,0,0,85,85
591,-19,1,1023,0.89,0,0,90,90
592,-18,2,1021,1.79,0,0,127,127
593,-17,1,1021,4.92,0,0,144,144
594,-14,-1,1021,5.81,0,0,203,203
595,-13,-3,1021,6.7,0,0,199,199
596,-13,-3,1021,0.89,0,0,231,231
597,-11,-5,1020,0.89,0,0,274,274
598,-13,-6,1020,1.79,0,0,340,340
599,-11,-5,1020,0.89,0,0,298,298
600,-11,-4,1019,1.79,0,0,268,268
601,-11,-4,1019,3.58,0,0,299,299
602,-12,-3,1018,5.37,0,0,300,300
603,-11,-4,1017,7.16,0,0,240,240
604,-11,-4,1016,10.29,0,0,213,213
605,-12,-3,1016,12.08,0,0,171,171
606,-11,-4,1016,15.21,0,0,153,153
607,-11,-5,1015,17,0,0,153,153
608,-11,-4,1015,18.79,0,0,140,140
