N,TEMP,HUMIDITY,LIGHT,CO2_PPM,OCCUPANCY
179,22,30,419,679,1
180,22,30,419,678,1
181,22,30,419,674,1
182,22,30,419,667,1
183,22,29,419,666,1
184,22,29,419,649,1
185,22,29,419,643,1
186,22,29,419,635,1
187,22,29,419,636,1
188,22,29,419,636,1
189,22,29,419,639,1
190,22,29,419,640,1
191,22,29,419,640,1
192,22,29,419,639,1
193,22,29,416,644,1
194,22,30,415,648,1
195,22,30,419,657,1
196,22,30,419,656,1
197,22,29,419,647,1
198,22,29,419,643,1
199,22,29,419,639,1
200,22,29,419,634,1
201,22,29,419,631,1
202,22,29,419,626,1
203,22,29,419,615,1
204,22,29,419,606,1
205,22,29,419,603,1
206,22,29,419,601,1
207,22,29,419,601,1
208,22,29,419,602,1
209,22,29,419,597,1
210,22,29,419,597,1
211,22,29,419,597,1
212,22,29,419,595,1
213,22,28,419,589,1
214,22,29,419,585,1
215,22,29,419,586,1
216,22,28,412,585,1
217,22,29,279,585,1
218,22,29,0,582,0
219,22,29,0,578,0
220,22,29,0,584,0
221,22,29,0,587,0
222,22,29,0,588,0
223,22,29,0,586,0
224,22,29,0,592,0
225,22,29,0,590,0
226,22,29,0,590,0
227,22,29,0,591,0
228,22,29,0,594,0
229,22,29,0,595,0
230,22,29,0,595,0
231,22,29,0,593,0
232,22,29,0,583,0
233,22,29,0,580,0
234,22,29,0,588,0
235,22,29,0,597,0
236,22,29,0,622,0
237,22,29,0,606,0
238,22,30,0,605,0
239,22,29,0,643,0
240,21,29,0,604,0
241,21,29,0,596,0
242,21,29,0,612,0
243,21,29,0,721,0
244,21,29,0,1760,0
245,21,29,0,1665,0
246,21,29,0,1256,0
247,21,29,0,724,0
248,21,29,0,619,0
249,21,30,0,563,0
250,21,30,0,582,0
251,21,30,0,616,0
252,21,30,0,649,0
253,21,30,0,673,0
254,21,30,0,608,0
255,21,30,0,752,0
256,21,31,0,622,0
257,21,30,0,589,0
258,21,30,0,609,0
259,21,30,0,620,0
260,21,30,0,599,0
261,21,30,0,641,0
262,21,30,0,695,0
263,21,30,0,670,0
264,21,30,0,619,0
265,21,30,0,572,0
266,21,30,0,534,0
267,21,30,0,619,0
268,21,30,0,516,0
269,21,31,0,515,0
270,21,30,0,514,0
271,21,30,0,520,0
272,21,30,0,528,0
273,21,30,0,526,0
274,21,30,0,526,0
275,21,30,0,528,0
276,21,30,0,524,0
277,21,30,0,525,0
278,21,30,0,521,0
279,21,30,0,524,0
280,21,30,0,523,0
281,21,30,0,526,0
282,21,30,0,520,0
283,21,30,0,526,0
284,21,29,0,530,0
285,21,30,0,529,0
286,21,29,0,529,0
287,21,30,0,527,0
288,21,29,0,530,0
289,21,30,0,526,0
290,21,30,0,526,0
291,21,30,0,526,0
292,21,30,0,532,0
293,21,30,0,534,0
294,21,30,0,533,0
295,21,29,0,521,0
296,21,30,0,524,0
297,21,30,0,521,0
298,21,30,0,522,0
299,21,30,0,520,0
300,21,30,0,521,0
301,21,30,0,520,0
302,21,30,0,524,0
303,21,30,0,520,0
304,21,29,0,525,0
305,21,30,0,519,0
306,21,29,0,519,0
307,21,30,0,520,0
308,21,30,0,523,0
309,21,30,0,528,0
310,21,30,0,537,0
311,21,30,0,542,0
312,21,30,0,548,0
313,21,30,0,546,0
314,21,30,0,550,0
315,21,30,0,562,0
316,21,30,0,583,0
317,21,29,0,552,0
318,21,30,0,540,0
319,21,29,0,527,0
320,21,29,0,523,0
321,21,30,0,517,0
322,21,30,0,517,0
323,21,30,0,513,0
324,21,30,0,511,0
325,21,30,0,513,0
326,21,29,0,513,0
327,21,30,0,512,0
328,21,30,0,511,0
329,21,30,0,512,0
330,21,29,0,509,0
331,21,30,0,503,0
332,21,30,0,503,0
333,21,30,0,502,0
334,21,29,0,502,0
335,21,29,0,500,0
336,21,30,0,504,0
337,21,29,0,507,0
338,21,30,0,497,0
339,21,30,0,494,0
340,21,30,0,495,0
341,21,30,0,500,0
342,21,30,0,498,0
343,21,30,0,498,0
344,21,29,0,499,0
345,21,30,0,502,0
346,21,30,0,499,0
347,21,30,0,492,0
348,21,30,0,495,0
349,21,30,0,492,0
350,21,29,0,495,0
351,21,30,0,499,0
352,21,30,0,497,0
353,21,30,0,493,0
354,21,30,0,492,0
355,21,30,0,492,0
356,21,30,0,492,0
357,21,30,0,486,0
358,21,30,0,488,0
359,21,30,0,491,0
360,21,30,0,491,0
361,21,29,0,491,0
362,21,30,0,496,0
363,21,29,0,500,0
364,21,29,0,496,0
365,21,30,0,489,0
366,21,30,0,489,0
367,21,30,0,489,0
368,21,30,0,495,0
369,21,30,0,494,0
370,21,29,0,496,0
371,21,30,0,495,0
372,21,30,0,494,0
373,21,30,0,494,0
374,21,29,0,496,0
375,21,29,0,486,0
376,21,30,0,485,0
377,21,29,0,490,0
378,21,29,0,488,0
379,21,30,0,485,0
380,21,30,0,485,0
381,21,30,0,488,0
382,21,30,0,493,0
383,21,30,0,497,0
384,21,30,0,490,0
385,21,30,0,494,0
386,21,30,0,489,0
387,21,30,0,486,0
388,21,29,0,487,0
389,21,29,0,486,0
390,21,30,0,486,0
391,21,29,0,486,0
392,21,30,0,488,0
393,21,30,0,489,0
394,21,29,0,489,0
395,21,29,0,488,0
396,21,29,0,493,0
397,21,29,0,489,0
398,21,31,0,486,0
399,21,30,0,487,0
400,21,30,0,491,0
401,21,30,0,488,0
402,21,30,0,488,0
403,21,30,0,494,0
404,21,30,0,492,0
405,21,30,0,488,0
406,21,30,0,490,0
407,21,30,0,488,0
408,21,29,0,488,0
409,21,30,0,492,0
410,21,29,0,488,0
411,21,29,0,486,0
412,21,30,0,489,0
413,21,29,0,488,0
414,21,30,0,488,0
415,21,30,0,489,0
416,21,29,0,495,0
417,21,29,0,492,0
418,21,30,0,489,0
419,21,29,0,491,0
420,21,29,0,493,0
421,21,29,0,486,0
422,21,29,0,495,0
423,21,29,0,495,0
424,21,29,0,495,0
425,21,29,0,496,0
426,21,30,0,491,0
427,21,30,0,492,0
428,21,29,0,485,0
429,21,29,0,490,0
430,21,29,0,489,0
431,21,30,0,490,0
432,21,30,0,493,0
433,21,29,0,488,0
434,21,29,0,491,0
435,21,29,0,489,0
436,21,29,0,487,0
437,21,30,0,491,0
438,21,29,0,494,0
439,21,29,0,495,0
440,21,29,0,486,0
441,21,29,0,489,0
442,21,30,0,490,0
443,21,29,0,492,0
444,21,29,0,489,0
445,21,29,0,492,0
446,21,29,0,489,0
447,21,29,0,493,0
448,21,29,0,491,0
449,21,29,0,485,0
450,21,29,0,488,0
451,21,29,0,490,0
452,21,29,0,486,0
453,21,28,0,487,0
454,21,28,0,487,0
455,21,29,0,492,0
456,21,28,0,487,0
457,21,29,0,487,0
458,21,28,0,488,0
459,21,28,0,486,0
460,21,28,0,486,0
461,21,28,0,487,0
462,21,29,0,497,0
463,21,29,0,498,0
464,21,29,0,497,0
465,21,29,0,497,0
466,21,28,0,487,0
467,21,28,0,487,0
468,21,28,0,492,0
469,21,29,0,489,0
470,21,28,0,488,0
471,21,28,0,487,0
472,21,28,0,488,0
473,21,28,0,489,0
474,21,28,0,495,0
475,21,28,0,499,0
476,21,28,0,499,0
477,21,28,0,489,0
478,21,28,0,490,0
479,21,28,0,486,0
480,21,28,0,490,0
481,21,28,0,488,0
482,21,28,0,485,0
483,21,28,0,492,0
484,21,29,0,492,0
485,21,28,0,489,0
486,21,28,0,489,0
487,21,28,0,490,0
488,21,28,0,492,0
489,21,28,0,494,0
490,21,29,0,491,0
491,21,28,0,499,0
492,21,28,0,486,0
493,21,29,0,489,0
494,21,28,0,488,0
495,21,28,0,490,0
496,21,28,0,488,0
497,21,28,0,494,0
498,21,28,0,498,0
499,21,29,0,497,0
500,21,28,0,493,0
501,21,28,0,492,0
502,21,28,0,492,0
503,21,28,0,494,0
504,21,28,0,493,0
505,21,28,0,492,0
506,21,28,0,494,0
507,21,28,0,497,0
508,21,28,0,499,0
509,21,28,0,501,0
510,21,28,0,498,0
511,21,28,0,498,0
512,21,28,0,498,0
513,21,28,0,495,0
514,21,28,0,493,0
515,21,28,0,495,0
516,21,27,0,495,0
517,21,28,0,495,0
518,21,28,0,500,0
519,21,28,0,500,0
520,21,28,0,498,0
521,21,28,0,490,0
522,21,27,0,490,0
523,21,28,0,493,0
524,21,27,0,498,0
525,21,28,0,503,0
526,21,29,0,502,0
527,21,27,0,498,0
528,21,27,0,498,0
529,21,27,0,499,0
530,21,27,0,496,0
531,21,28,0,498,0
532,21,28,0,497,0
533,21,28,0,496,0
534,21,27,0,496,0
535,21,28,0,498,0
536,21,27,0,497,0
537,21,27,0,498,0
538,21,27,0,500,0
539,21,27,0,497,0
540,21,28,0,499,0
541,21,28,0,499,0
542,21,28,0,499,0
543,21,27,0,503,0
544,21,27,0,501,0
545,21,28,0,499,0
546,21,27,0,505,0
547,21,28,0,508,0
548,21,27,0,501,0
549,21,27,0,503,0
550,21,27,0,502,0
551,21,27,0,505,0
552,21,27,0,507,0
553,21,27,0,508,0
554,21,27,0,506,0
555,21,27,0,502,0
556,21,27,0,500,0
557,21,27,0,498,0
558,21,27,0,503,0
559,21,27,0,502,0
560,21,27,0,500,0
561,21,27,0,499,0
562,21,27,0,508,0
563,21,27,0,504,0
564,21,27,0,505,0
565,21,27,0,505,0
566,21,27,0,507,0
567,21,27,0,506,0
568,21,27,0,505,0
569,21,27,0,504,0
570,21,27,0,509,0
571,21,27,0,506,0
572,21,27,0,508,0
573,21,27,0,506,0
574,21,27,0,499,0
575,21,27,0,505,0
576,21,27,0,509,0
577,21,27,0,511,0
578,21,27,0,506,0
579,21,27,0,504,0
580,21,27,0,506,0
581,21,26,0,507,0
582,21,27,0,509,0
583,21,27,0,510,0
584,21,27,0,508,0
585,21,27,0,502,0
586,21,27,0,511,0
587,21,27,0,514,0
588,21,27,0,508,0
589,21,27,0,507,0
590,21,27,0,508,0
591,21,27,0,510,0
592,21,26,0,507,0
593,21,26,0,512,0
594,21,27,0,512,0
595,21,27,0,515,0
596,21,26,0,514,0
597,21,27,0,513,0
598,21,26,0,516,0
599,21,26,0,516,0
600,21,27,0,510,0
601,21,27,0,510,0
602,21,26,0,511,0
603,21,27,0,516,0
604,21,26,0,520,0
605,21,27,0,519,0
606,21,26,0,517,0
607,21,26,0,518,0
608,21,26,0,517,0
609,21,26,0,511,0
610,21,26,0,510,0
611,21,26,0,521,0
612,21,26,0,513,0
613,21,26,0,518,0
614,21,27,0,521,0
615,21,26,0,517,0
616,21,26,0,514,0
617,21,26,0,518,0
618,21,27,0,517,0
619,21,26,0,519,0
620,21,27,0,522,0
621,21,27,0,526,0
622,21,26,0,524,0
623,21,26,0,522,0
624,21,26,0,523,0
625,21,26,0,522,0
626,21,26,0,525,0
627,21,26,0,526,0
628,21,26,0,526,0
629,21,26,0,525,0
630,21,26,0,528,0
631,21,26,0,528,0
632,21,26,0,522,0
633,21,26,0,527,0
634,21,26,0,532,0
635,21,26,0,535,0
636,21,26,0,531,0
637,21,26,0,535,0
638,21,26,0,534,0
639,21,26,0,533,0
640,21,26,0,530,0
641,21,26,0,532,0
642,21,26,0,533,0
643,21,26,0,535,0
644,21,26,0,537,0
645,21,26,0,539,0
646,21,26,0,543,0
647,21,26,0,543,0
648,21,27,0,542,0
649,21,26,0,536,0
650,21,26,0,539,0
651,21,26,0,540,0
652,21,26,0,540,0
653,21,26,0,542,0
654,21,26,0,543,0
655,21,26,0,546,0
656,21,26,0,545,0
657,21,26,0,543,0
658,21,26,0,545,0
659,21,26,0,546,0
660,21,26,0,542,0
661,21,26,0,536,0
662,21,25,0,537,0
663,21,26,0,549,0
664,21,26,0,552,0
665,21,26,0,552,0
666,21,26,0,557,0
667,21,25,0,555,0
668,21,25,0,552,0
669,21,26,0,549,0
670,21,25,0,544,0
671,21,25,0,545,0
672,21,25,0,549,0
673,21,25,0,548,0
674,21,26,0,548,0
675,21,26,0,549,0
676,21,25,0,549,0
677,21,25,0,558,0
678,21,25,0,555,0
679,21,26,0,556,0
680,21,25,0,547,0
681,21,26,0,544,0
682,21,26,0,547,0
683,21,26,0,548,0
684,21,26,0,550,0
685,21,26,0,552,0
686,21,25,0,552,0
687,21,25,0,550,0
688,21,26,0,550,0
689,21,25,0,553,0
690,21,26,0,554,0
691,21,25,0,552,0
692,21,25,0,554,0
693,21,25,0,552,0
694,21,26,0,549,0
695,21,25,0,550,0
696,21,25,0,549,0
697,21,25,0,548,0
698,21,25,0,546,0
699,21,26,0,544,0
700,21,26,0,551,0
701,21,25,0,553,0
702,21,25,0,555,0
703,21,25,0,553,0
704,21,25,0,555,0
705,21,25,0,555,0
706,21,25,0,560,0
707,21,25,0,553,0
708,21,25,0,553,0
709,21,25,0,555,0
710,21,25,0,558,0
711,21,25,0,555,0
712,21,25,0,556,0
713,21,26,0,552,0
714,21,25,0,557,0
715,21,25,0,555,0
716,21,26,0,562,0
717,21,25,0,562,0
718,21,25,0,563,0
719,21,25,0,560,0
720,21,26,0,555,0
721,21,25,0,555,0
722,21,25,0,557,0
723,21,25,0,552,0
724,21,25,0,547,0
725,21,26,0,554,0
726,21,25,0,550,0
727,21,25,0,546,0
728,21,25,0,554,0
729,21,25,0,554,0
730,21,25,0,550,0
731,21,26,0,552,0
732,21,25,0,546,0
733,21,25,0,554,0
734,21,25,0,561,0
735,21,25,0,559,0
736,21,25,0,559,0
737,21,25,0,552,0
738,21,25,0,552,0
739,21,25,0,556,0
740,21,25,0,556,0
741,21,25,0,559,0
742,21,25,0,558,0
743,21,25,0,561,0
744,21,25,0,561,0
745,21,25,0,565,0
746,21,25,0,576,0
747,21,25,0,579,0
748,21,24,0,579,0
749,21,25,0,574,0
750,21,25,0,579,0
751,21,25,0,580,0
752,21,25,0,576,0
753,21,25,0,579,0
754,21,25,0,579,0
755,21,25,0,575,0
756,21,25,0,570,0
757,21,24,0,578,0
758,21,25,0,579,0
759,21,25,0,577,0
760,21,25,0,574,0
761,21,25,0,575,0
762,21,24,0,579,0
763,21,25,0,579,0
764,21,25,0,582,0
765,21,25,0,587,0
766,21,25,0,598,0
767,21,25,0,605,0
768,21,25,0,610,0
769,21,25,0,609,0
770,21,24,0,610,0
771,21,24,0,610,0
772,21,24,0,613,0
773,21,24,0,616,0
774,21,25,0,662,0
775,21,24,0,701,0
776,21,24,0,956,0
777,21,24,0,965,0
778,21,25,0,740,0
779,21,24,0,627,0
780,21,24,0,593,0
781,21,24,0,588,0
782,21,24,0,587,0
783,21,25,0,594,0
784,21,25,0,591,0
785,21,24,0,597,0
786,21,24,0,607,0
787,21,24,0,610,0
788,21,25,0,599,0
789,21,25,0,599,0
790,21,24,0,602,0
791,21,24,0,601,0
792,21,25,0,593,0
793,21,24,0,587,0
794,21,25,0,588,0
795,21,24,0,584,0
796,21,25,0,593,0
797,21,24,0,578,0
798,21,24,0,583,0
799,21,25,0,584,0
800,21,25,0,572,0
801,21,25,0,570,0
802,21,24,0,577,0
803,21,25,0,573,0
804,21,25,0,572,0
805,21,24,0,569,0
806,21,25,0,569,0
807,21,25,0,565,0
808,21,24,0,568,0
809,21,24,0,569,0
810,21,24,0,565,0
811,21,24,0,569,0
812,21,24,0,566,0
813,21,25,0,562,0
814,21,24,0,559,0
815,21,24,0,559,0
816,21,24,0,561,0
817,21,25,0,555,0
818,21,24,0,556,0
819,21,25,0,559,0
820,21,24,0,558,0
821,21,24,0,557,0
822,21,24,0,561,0
823,21,24,0,557,0
824,21,24,0,558,0
825,21,24,0,548,0
826,21,24,0,558,0
827,21,24,0,553,0
828,21,24,0,554,0
829,21,24,0,556,0
830,21,24,0,556,0
831,21,24,0,550,0
832,21,24,0,547,0
833,21,24,0,551,0
834,21,24,0,553,0
835,21,24,0,554,0
836,21,24,0,554,0
837,21,24,0,557,0
838,21,24,0,560,0
839,21,24,0,556,0
840,21,24,0,561,0
841,21,24,0,558,0
842,21,24,0,557,0
843,21,24,0,560,0
844,21,24,0,557,0
845,21,24,0,555,0
846,21,24,0,565,0
847,21,24,0,560,0
848,21,25,0,556,0
849,21,24,0,557,0
850,21,24,0,558,0
851,21,24,0,560,0
852,21,24,0,566,0
853,21,24,0,559,0
854,21,24,0,560,0
855,21,24,0,560,0
856,21,24,0,559,0
857,21,23,0,560,0
858,21,24,0,560,0
859,21,24,0,564,0
860,21,24,0,564,0
861,21,24,0,561,0
862,21,24,0,562,0
863,21,24,0,557,0
864,21,24,0,564,0
865,21,24,0,560,0
866,21,24,0,556,0
867,21,23,0,558,0
868,21,24,0,561,0
869,21,24,0,567,0
870,21,24,0,566,0
871,21,24,0,565,0
872,21,25,0,569,0
873,21,24,0,569,0
874,21,24,0,568,0
875,21,24,0,571,0
876,21,24,0,568,0
877,21,24,0,579,0
878,21,24,0,582,0
879,21,24,0,580,0
880,21,24,0,581,0
881,21,24,0,583,0
882,21,24,0,584,0
883,21,23,0,586,0
884,21,24,0,585,0
885,21,24,0,577,0
886,21,24,0,578,0
887,21,24,0,581,0
888,21,25,0,585,0
889,21,24,0,578,0
890,21,23,0,583,0
891,21,24,0,583,0
892,21,24,0,587,0
893,21,24,0,587,0
894,21,24,0,586,0
895,21,24,0,585,0
896,21,24,0,587,0
897,21,24,0,581,0
898,21,24,0,580,0
899,21,24,0,582,0
900,21,24,0,576,0
901,21,24,0,569,0
902,21,24,0,574,0
903,21,24,0,579,0
904,21,24,0,579,0
905,21,23,0,581,0
906,21,24,0,582,0
907,21,23,0,587,0
908,21,24,0,584,0
909,21,23,0,588,0
910,21,24,0,588,0
911,21,24,0,587,0
912,21,23,0,588,0
913,21,23,0,588,0
914,21,23,0,588,0
915,21,23,0,587,0
916,21,23,0,577,0
917,21,23,0,577,0
918,21,23,0,580,0
919,21,23,0,585,0
920,21,23,0,585,0
921,21,23,0,584,0
922,21,23,0,583,0
923,21,23,0,585,0
924,21,24,0,586,0
925,21,23,0,587,0
926,21,23,0,595,0
927,20,23,0,594,0
928,21,23,0,597,0
929,21,23,0,599,0
930,21,24,0,604,0
931,21,23,0,598,0
932,21,23,0,600,0
933,21,23,0,609,0
934,21,23,0,615,0
935,21,23,0,616,0
936,21,23,0,610,0
937,21,23,0,607,0
938,21,23,0,608,0
939,21,23,0,608,0
940,21,23,0,603,0
941,21,23,0,603,0
942,21,23,0,596,0
943,21,23,0,603,0
944,21,23,0,612,0
945,21,23,0,609,0
946,21,23,0,604,0
947,21,23,0,606,0
948,21,23,0,608,0
949,21,23,0,612,0
950,21,23,0,612,0
951,21,23,0,615,0
952,21,23,0,622,0
953,21,23,0,627,0
954,21,23,0,626,0
955,21,22,0,630,0
956,21,23,0,631,0
957,21,23,0,628,0
958,21,23,0,628,0
959,21,22,0,630,0
960,21,23,0,634,0
961,21,22,0,628,0
962,21,23,0,632,0
963,21,23,0,630,0
964,21,22,0,636,0
965,21,23,0,632,0
966,21,23,0,634,0
967,21,23,0,635,0
968,21,23,0,643,0
969,21,23,0,643,0
970,21,23,0,638,0
971,21,23,0,636,0
972,21,23,0,635,0
973,21,23,0,646,0
974,21,23,0,649,0
975,21,23,0,651,0
976,21,23,0,657,0
977,21,23,0,655,0
978,21,23,0,660,0
979,21,23,0,662,0
980,21,23,0,667,0
981,21,23,0,665,0
982,21,23,0,665,0
983,21,23,0,669,0
984,21,23,0,667,0
985,21,23,0,668,0
986,21,23,0,676,0
987,21,23,0,700,0
988,21,23,0,716,0
989,21,23,0,726,0
990,21,23,0,735,0
991,21,23,0,741,0
992,21,23,0,735,0
993,21,23,0,735,0
994,21,23,0,745,0
995,21,23,0,742,0
996,21,23,0,733,0
997,21,22,0,735,0
998,21,22,0,733,0
999,21,22,0,741,0
1000,21,22,0,745,0
1001,21,23,0,733,0
1002,21,22,0,714,0
1003,21,22,0,706,0
1004,21,23,0,701,0
1005,21,22,0,697,0
1006,21,22,0,694,0
1007,21,23,0,698,0
1008,21,23,0,701,0
1009,21,23,0,703,0
1010,21,22,0,700,0
1011,21,23,0,697,0
1012,21,23,0,695,0
1013,21,23,0,703,0
1014,21,22,0,706,0
1015,21,23,0,714,0
1016,21,23,0,720,0
1017,21,23,0,716,0
1018,21,22,0,719,0
1019,21,22,0,720,0
1020,21,23,0,725,0
1021,21,23,0,723,0
1022,21,23,0,767,0
1023,21,22,0,815,0
1024,21,23,0,844,0
1025,21,23,0,844,0
1026,21,23,0,821,0
1027,21,22,0,794,0
1028,21,22,0,762,0
1029,21,22,0,764,0
1030,21,22,0,788,0
1031,21,22,0,801,0
1032,21,22,0,796,0
1033,21,22,0,805,0
1034,21,22,0,820,0
1035,21,22,0,832,0
1036,21,22,9,831,0
1037,21,22,14,819,0
1038,21,22,14,820,0
1039,21,22,14,816,0
1040,21,22,14,817,0
1041,21,22,14,831,0
1042,21,22,14,836,0
1043,21,22,7,856,0
1044,21,22,14,859,0
1045,21,22,14,849,0
1046,21,22,7,865,0
1047,21,22,7,865,0
1048,21,22,6,909,0
1049,21,22,6,913,0
1050,21,22,6,927,0
1051,21,22,6,1099,0
1052,21,22,6,1422,0
1053,21,23,6,917,0
1054,21,22,10,1003,0
1055,21,22,24,1051,0
1056,21,22,24,836,0
1057,21,22,14,820,0
1058,21,22,14,782,0
1059,21,22,10,914,0
1060,21,22,10,1018,0
1061,21,23,9,806,0
1062,21,22,9,673,0
1063,21,22,9,660,0
1064,21,22,358,647,1
1065,21,22,438,649,1
1066,21,22,454,653,0
1067,21,22,443,682,0
1068,21,22,444,702,0
1069,21,22,444,707,0
1070,21,22,440,698,1
1071,21,22,437,692,1
1072,21,22,429,691,1
1073,21,22,418,700,1
1074,21,22,418,709,1
1075,21,22,418,717,1
1076,21,22,429,723,1
1077,21,23,434,727,1
1078,21,23,434,736,1
1079,21,23,424,734,1
1080,21,23,439,734,1
1081,21,23,428,732,1
1082,21,23,438,732,1
1083,21,23,443,736,1
1084,21,23,447,726,1
1085,21,23,444,732,1
1086,21,23,447,735,1
1087,21,23,450,736,1
1088,21,23,436,812,1
1089,21,23,450,828,1
1090,21,23,442,776,1
1091,21,23,455,787,1
1092,21,24,444,819,1
1093,21,24,460,844,1
1094,21,24,458,858,1
1095,21,24,460,892,1
1096,21,24,470,902,1
1097,21,24,475,878,1
1098,21,24,473,869,1
1099,21,24,466,869,1
1100,22,24,476,903,1
1101,22,24,474,928,1
1102,22,24,494,939,1
1103,22,24,481,948,1
1104,22,24,497,966,1
1105,22,24,494,965,1
1106,22,24,502,971,1
1107,22,25,513,980,1
1108,22,25,508,992,1
1109,22,25,502,1000,1
1110,22,25,514,1001,1
1111,22,25,508,1006,1
1112,22,25,526,1018,1
1113,22,25,529,1027,1
1114,22,25,524,1033,1
1115,22,25,515,1040,1
1116,22,25,545,1055,1
1117,22,25,525,1070,1
1118,22,25,535,1090,1
1119,22,25,545,1096,1
1120,22,25,537,1104,1
1121,22,25,552,1108,1
1122,22,25,549,1112,1
1123,22,25,539,1129,1
1124,22,25,552,1144,1
1125,22,25,552,1142,1
1126,22,25,566,1141,1
1127,22,25,566,1129,1
1128,23,25,570,1125,1
1129,23,25,576,1131,1
1130,23,25,578,1136,1
1131,23,25,583,1144,1
1132,23,25,583,1144,1
1133,23,25,591,1149,1
1134,23,25,589,1153,1
1135,23,25,593,1168,1
1136,23,25,593,1166,1
1137,23,25,589,1179,1
1138,23,25,756,1195,1
1139,23,25,1380,1203,1
1140,23,25,1581,1212,1
1141,23,25,1011,1216,1
